,device_sn,device_name,port_number,sensor_sn,sensor_name,units,timestamp_utc,datetime,tz_offset,value,precision,mrid,error_flag,error_description
0,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731970800,2024-11-19 00:00:00+01:00,3600,4.2,1,155940,False,
1,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731970500,2024-11-18 23:55:00+01:00,3600,4.1,1,155939,False,
2,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731970200,2024-11-18 23:50:00+01:00,3600,4.2,1,155938,False,
3,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731969900,2024-11-18 23:45:00+01:00,3600,4.2,1,155937,False,
4,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731969600,2024-11-18 23:40:00+01:00,3600,4.1,1,155936,False,
5,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731969300,2024-11-18 23:35:00+01:00,3600,4.1,1,155935,False,
6,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731969000,2024-11-18 23:30:00+01:00,3600,4.0,1,155934,False,
7,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731968700,2024-11-18 23:25:00+01:00,3600,3.9,1,155933,False,
8,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731968400,2024-11-18 23:20:00+01:00,3600,3.9,1,155932,False,
9,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731968100,2024-11-18 23:15:00+01:00,3600,3.8,1,155931,False,
10,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731967800,2024-11-18 23:10:00+01:00,3600,3.8,1,155930,False,
11,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731967500,2024-11-18 23:05:00+01:00,3600,3.7,1,155929,False,
12,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731967200,2024-11-18 23:00:00+01:00,3600,3.7,1,155928,False,
13,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731966900,2024-11-18 22:55:00+01:00,3600,3.7,1,155927,False,
14,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731966600,2024-11-18 22:50:00+01:00,3600,3.7,1,155926,False,
15,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731966300,2024-11-18 22:45:00+01:00,3600,3.7,1,155925,False,
16,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731966000,2024-11-18 22:40:00+01:00,3600,3.7,1,155924,False,
17,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731965700,2024-11-18 22:35:00+01:00,3600,3.8,1,155923,False,
18,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731965400,2024-11-18 22:30:00+01:00,3600,3.8,1,155922,False,
19,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731965100,2024-11-18 22:25:00+01:00,3600,3.9,1,155921,False,
